signatur,titel,place,date-issued,date-year,URN,Literatur,"Literatur, direkt Link",link-images,oai_id
Urk. 236,"Urkunde 236, 1715  August 6, Appenzell",Appenzell,So geben den sechsten tag Augusti im jahr nach der gnad- und trostreichen geburt  und menschwerdung unsers Herren und Heilands Jesu Christi ein tausend sieben  hundert und fünf zehen,1715,urn:nbn:de:kobv:11-712851,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/58/,https://www.digi-hub.de/viewer/content/1599570994390/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599570994390/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599570994390/full/0/00000003.jpg,1599570994390
Urk. 197,"Urkunde 197, 1543 November 28, Aschaffenburg",Aschaffenburg,Der geben ist zu Aschaffenburgck uff mitwochen nach Catharine nach Christi  unsers lieben Hern geburth tawsent funfhundert und im drey und viertzigisten jare,1543,urn:nbn:de:kobv:11-712850,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/57/,https://www.digi-hub.de/viewer/content/1599569824330/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599569824330/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599569824330/full/0/00000003.jpg,1599569824330
Urk. 172,"Urkunde 172, 1500 März 6, Frankenthal",Frankenthal,Gescheen zu Franckentall uff dem keller im iar noch der geburt unsers lieben Hern  Jesu Christi funfftzehen hundert uff den sehsten tag des Myertz der do was uff ein  frytag,1500,urn:nbn:de:kobv:11-712849,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/55/,https://www.digi-hub.de/viewer/content/1599568619561/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599568619561/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599568619561/full/0/00000003.jpg,1599568619561
Urk. 238,"Urkunde 238, 1718 August 5, Rom",Rom,Datum Rome apud sanctam Mariam maiorem anno incarnationis dominice millesimo  septingentesimo decimooctavo quinto diem augusti pontificatus nostri anno  decimoctavo,1718,urn:nbn:de:kobv:11-712853,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/59/,https://www.digi-hub.de/viewer/content/1599572775498/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599572775498/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599572775498/full/0/00000003.jpg|https://www.digi-hub.de/viewer/content/1599572775498/full/0/00000004.jpg,1599572775498
Urk. 74,"Urkunde 74, 1390 Dezember 19, Zabern",Zabern,Geben des nehsten mandages vor dem heillig[en]* Wihnaht dage in dem jore do  man zalte nach gotz gebuert? drueczehenhundert und nuenczig jore,1390,urn:nbn:de:kobv:11-712857,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/63/,https://www.digi-hub.de/viewer/content/1599652382071/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599652382071/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599652382071/full/0/00000003.jpg,1599652382071
Urk. 22,"Urkunde 22, 1336 Juni 9, Speyer",Speyer,Datum anno domini M° CCC° XXXVI° feria secunda ante Barnabe apostoli,1336,urn:nbn:de:kobv:11-712856,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/61/,https://www.digi-hub.de/viewer/content/1599649450548/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599649450548/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599649450548/full/0/00000003.jpg,1599649450548
Urk. 148,"Urkunde 148, 1478 April 13, Straßburg",Straßburg,Anno domini millesimo quadringentesimo septuagesimo octavo indictione undecima  die vero lune tredecima mensis aprilis infra ducdecimam et primam horas post  meridiem pontificatus sanctissimi in Christo patris et domini nostri domini Sixti' divina  providentia pape quarti anno eius septimo,1478,urn:nbn:de:kobv:11-712858,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/64/,https://www.digi-hub.de/viewer/content/1599653768359/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599653768359/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599653768359/full/0/00000003.jpg,1599653768359
Urk. 54,"Urkunde 54, 1369 Juli 27, Stuttgart",Stuttgart,"Der brief ist geben ze Stuegarten an dem nehsten fritag nach sant Jacobs tag dez  heilgen zwelfboten, do man zalt von Cristes gebuort drueczehen huendert jare und in  dem nuenden und sehczzigesten jare",1369,urn:nbn:de:kobv:11-712859,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/66/,https://www.digi-hub.de/viewer/content/1599655038738/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599655038738/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599655038738/full/0/00000003.jpg,1599655038738
Urk. 48,"Urkunde 48, 1365 November 12, Bayern",Bayern,Daz [geschah] mitichen nach sand Marttins tag do man zalt von Christes gepurt  drewzehenhundert iar und in dem fuenf und sechczigistem jar,1365,urn:nbn:de:kobv:11-712861,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/69/,https://www.digi-hub.de/viewer/content/1599656452749/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599656452749/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599656452749/full/0/00000003.jpg,1599656452749
Urk. 66,"Urkunde 66, 1383 Juli 12, Bayern",Bayern,Daz ist geschehen an sand Margreten tag do man zalt von Kristi gepurd drutzehen  hundert iar und in dem drew und achczigistem jar,1383,urn:nbn:de:kobv:11-712862,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/70/,https://www.digi-hub.de/viewer/content/1599656976898/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599656976898/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599656976898/full/0/00000003.jpg,1599656976898
Urk. 20,"Urkunde 20, 1326 September 27, Nürnberg",Nürnberg,Der brif ist gegeben do man zalt von Gotes gebuert dreutzenhundert jar dar nach in  dem sechse und zweintzgistem jar an dem samtztag vor sant Remigien tag,1326,urn:nbn:de:kobv:11-712860,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/67/,https://www.digi-hub.de/viewer/content/1599655964802/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599655964802/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599655964802/full/0/00000003.jpg,1599655964802
Urk. 99,"Urkunde 99, 1437 Oktober 24, Straubing",Straubing,Geben zue Strawbing an pfintztag nach der Aindelf tausent maidtag da mann zelet  nach Cristi unsers lieben Herren gepurd viertzechenhundert und in dem sibnunddreissigısten jare,1437,urn:nbn:de:kobv:11-712865,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/73/,https://www.digi-hub.de/viewer/content/1599659380507/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599659380507/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599659380507/full/0/00000003.jpg,1599659380507
Urk. 72,"Urkunde 72, 1387 April 9, Bayern",Bayern,Daz ist geschehen nach Cristus gepurt drewczehen hundert jar und in dem siben  und achczigistem jar dez erichtagez in der heiligen Oster wochen,1387,urn:nbn:de:kobv:11-712864,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/72/,https://www.digi-hub.de/viewer/content/1599658033369/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599658033369/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599658033369/full/0/00000003.jpg,1599658033369
Urk. 70,"Urkunde 70, 1385 November 10, Bayern",Bayern,Daz geschach nach Christus gebuort drueczehenhuondert jar und dar nach in dem  fuenften und ahtzgestem jare an sant Martins abent dez hailigen byschofs,1385,urn:nbn:de:kobv:11-712863,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/71/,https://www.digi-hub.de/viewer/content/1599657514453/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599657514453/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599657514453/full/0/00000003.jpg,1599657514453
Urk. 188,"Urkunde 188, 1526 Januar 16, Nürnberg",Nürnberg,Geben am monntag nach sand Mauritientag den funfzehenden des monats  Januarii nach Crists unsers liebsten Herren und Seligmachers geburd funfzehen-  hundert und in dem sechsundzwaintzigisten jaren,1526,urn:nbn:de:kobv:11-712868,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/76/,https://www.digi-hub.de/viewer/content/1599739133179/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599739133179/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599739133179/full/0/00000003.jpg,1599739133179
Urk. 128,"Urkunde 128, 1469 Februar 13, Nürnberg",Nürnberg,Datum in conventu nostro Nu[ren]bergensis provincie Argentoratensis' anno domini  millesimo quadringentesimo sexagesimo? nono mensis vero februarii die tercia-  decima,1469,urn:nbn:de:kobv:11-712866,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/74/,https://www.digi-hub.de/viewer/content/1599735359337/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599735359337/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599735359337/full/0/00000003.jpg,1599735359337
Urk. 159,"Urkunde 159, 1488 August 3, Nürnberg",Nürnberg,Der geben ist am sampstag nach sandt Peters tag ketchen feyer nach Cristi gepurt  vierzehenhundert und in dem achtunachczigisten jare,1488,urn:nbn:de:kobv:11-712867,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/75/,https://www.digi-hub.de/viewer/content/1599737157784/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599737157784/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599737157784/full/0/00000003.jpg,1599737157784
Urk. 1,"Urkunde 1, 879 November 22, Regensburg",Regensburg,"Data X kalendas decembris anno dominicae incarnationis DCCCLXXVIIII,  indictione XI anno IIII regni Hludouuici regis in orientali Francia regnantis actum  Reganesburg",879,urn:nbn:de:kobv:11-712869,"Die Urkundensammlung des Historischen Seminars der Friedrich-Wilhelms-Universität zu Berlin, heute in der Universitätsbibliothek der Humboldt-Universität, Zweigbibliothek Geschichte",https://www.digi-hub.de/viewer/image/BV046216108/77/,https://www.digi-hub.de/viewer/content/1599741666260/full/0/00000001.jpg|https://www.digi-hub.de/viewer/content/1599741666260/full/0/00000002.jpg|https://www.digi-hub.de/viewer/content/1599741666260/full/0/00000003.jpg,1599741666260
