volume,lfd Nr.,Signatur-Fonds,Signatur-Nr.,datum,when,notBefore,notAfter,ort,region,region_konk,form,flags
Müller et al. 2007,47,Urk.,242,1770 Juli 17,1770-07-17,,,"Rom, S. Maria Maggiore",Polen,Polen,päpstliche Regelung von Kirchenämtern,
Müller et al. 2007,52,Urk.,252,[14./15 Jh.] April 22,,1301-04-22,1500-04-22,Briviesca,Spanien,Spanien,"Notariatsinstrument, Verkauf eines Grundstücks",siècle seulement
Müller et al. 2007,31,Urk.,254,1657 April 11,1657-04-11,,,"Venedig, Dogenpalast","Italien, Venedig","Italien, Venedig",Anweisung zur Schuldvollstreckung,
Müller et al. 2007,32,Urk.,255,1666 Juli 16,1666-07-16,,,"[Venedig, Dogenpalast]","Italien, Venedig","Italien, Venedig",Beglaubigungsschreiben,
Müller et al. 2007,10,Urk.,256,1305 Februar 19,1305-02-19,,,"Torcello, Venedig, Kloster St. Thomas","Italien, Torcello – Kreta","Italien, Torcello –",Pachtvertrag,
Müller et al. 2007,9,Urk.,257,1304 März 8,1304-03-08,,,,"Italien, Torcello – Kreta","Italien, Torcello –",Besitzübertragung,
Müller et al. 2007,4,Urk.,258,1218 Mai 30,1218-05-30,,,"Konstantinopel, Hagia Sophia","Italien, Torcello – Kreta","Italien, Torcello –",Besitzbestätigung,
Müller et al. 2007,6,Urk.,259,1243 Februar 25,1243-02-25,,,,"Italien, Torcello – Kreta","Italien, Torcello –",notarielle Abschrift einer Urkunde,
Müller et al. 2007,5,Urk.,260,1232 Juli,,1232-07-01,1232-07-31,,"Italien, Torcello – Kreta","Italien, Torcello –",bischöfliche Regelung kirchenrechtlicher Ansprüche,
Müller et al. 2007,18,Urk.,261,1304 Januar 23,1304-01-23,,,[Treviso],"Italien, Treviso","Italien, Treviso","Notariatsinstrument, Abschrift einer Erbteilung",3 entrées dans la table (inserts)
Müller et al. 2007,7,Urk.,262,1279 August 2,1279-08-02,,,Rialto (Venedig),"Italien, Torcello – Kreta","Italien, Torcello –","Notariatsinstrument, Pachtvertrag",
Müller et al. 2007,12,Urk.,263,1328 Januar 25,1328-01-25,,,"Torcello, Venedig, im Kloster St. Margarethe","Italien, Torcello – Kreta","Italien, Torcello –",Regelung von Besitzansprüchen,cote 263 partagée avec Nr. 12a (même parchemin)
Müller et al. 2007,12a,Urk.,263,1328 Januar 25,1328-01-25,,,"Torcello, Venedig, im Kloster St. Margarethe","Italien, Torcello – Kreta","Italien, Torcello –","Notarsinstrument, Anerkennung eines Schiedsverfahrens",cote 263 partagée avec Nr. 12
Müller et al. 2007,11,Urk.,264,1309 (März) 3,1309-03-03,,,Malamocco,"Italien, Torcello – Kreta","Italien, Torcello –","Notariatsinstrument, Appellation an den Papst","mois suppléé par les éditeurs ""(März)"""
Müller et al. 2007,13,Urk.,265,1328 Januar 25,1328-01-25,,,"Torcello, Venedig, im Kloster St. Thomas","Italien, Torcello – Kreta","Italien, Torcello –","Notarsinstrument, Anerkennung eines Schiedsverfahrens",
Müller et al. 2007,15,Urk.,267,1338 April 1,1338-04-01,,,"Torcello, Venedig, Kloster St. Thomas","Italien, Torcello – Kreta","Italien, Torcello –","Notariatsinstrument, Pachtvertrag",
Müller et al. 2007,14,Urk.,268,1330 Januar 10,1330-01-10,,,Kloster St. Jakob di Palude,"Italien, Torcello – Kreta","Italien, Torcello –","Notariatsinstrument, Bestätigung der Zisterzienserregel",
Müller et al. 2007,17,Urk.,269,1381 Juni 2,1381-06-02,,,,"Italien, Torcello – Kreta","Italien, Torcello –",Notariatsinstrument,4 entrées dans la table (inserts)
Müller et al. 2007,16,Urk.,270,1340 März 15,1340-03-15,,,Rialto (Venedig),"Italien, Torcello – Kreta","Italien, Torcello –",Bestätigung einer Schenkungsurkunde,3 entrées dans la table (inserts)
Müller et al. 2007,2,Urk.,17 a,(1353 Frühjahr),,1353-01-01,1353-06-30,,Frankreich,Frankreich,Supplik um Verleihung einer Pfründe,(1353 Frühjahr) : bornes conventionnelles
Müller et al. 2007,3,Urk.,17 b,(1378–1417),,1378-01-01,1417-12-31,,Frankreich,Frankreich,Supplik um Verleihung einer Pfründe,(1378–1417)
Müller et al. 2007,51,Urk.,251 a,1518 März 15,1518-03-15,,,Granada,Spanien,Spanien,"Notariatsinstrument, Prozessbericht",table chronologique : Geographische Zuordnung manquante pour la ligne 1517 Juli 21 (insert)
Müller et al. 2007,49,Urk.,251 b,1417 Oktober 9,1417-10-09,,,Sevilla,Spanien,Spanien,"Notariatsinstrument, Besitzverkauf",
Müller et al. 2007,50,Urk.,251 c,1516 Januar 11,1516-01-11,,,Florenz (in der Residenz des Ausstellers),Spanien,Spanien,Visitationsinstruktionen,2 entrées dans la table (inserts)
Müller et al. 2007,48,Urk.,251 d,1320 Oktober 7,1320-10-07,,,Arjona,Spanien,Spanien,bischöfliche Bekanntmachung eines päpstlichen Privilegs,2 entrées dans la table (inserts)
Müller et al. 2007,53,Urk.,253 I,1735 September 24,1735-09-24,,,,Türkei,Türkei,Kopfsteuer,
Müller et al. 2007,54,Urk.,253 II,1826 Juli 6,1826-07-06,,,,Türkei,Türkei,Befreiung vom Schiffszoll,
Müller et al. 2007,8,Urk.,266/266 a,1303 April 10,1303-04-10,,,,"Italien, Torcello – Kreta","Italien, Torcello –",Verzeichnis von Ländereien und Besitztümern,
